offer_id,title,shop_name,price_eur,brand,category_label,cluster_id,cluster_label
o00033,"FUJIFILM X-M5 Gehäuse Schwarz Spiegellose Systemkamera, 7,6 cm Display Touchscre",ebay.de,839.99,Fujifilm,Systemkameras,c00033,X-M5 Body Schwarz
o00034,"Xiaomi Redmi Pad 2 Pro - 30,7 cm (12,1"") Tablet, 256 GB, 8 GB RAM, Graphite Gray (VHU6131EU)",JACOB,289.74,Xiaomi,Tablet PCs,c00034,Redmi Pad 2 Pro 8 GB RAM 256 GB Graphite Gray
o00035,Apple iPhone Air 1TB Wolkenweiß MG2X4ZD/A,Cyberport,1299.00,Apple,Handys ohne Vertrag,c00035,iPhone Air 1 TB Wolkenweiß
o00036,"ZOTAC GAMING GeForce RTX 5060 Ti AMP 8GB GDDR7 Grafikkarte 3x DP, 1x HDMI",computeruniverse.net,360.99,Zotac,Grafikkarten,c00036,GeForce RTX 5060 Ti AMP 8 GB GDDR7
o00037,Lenovo ThinkPad E16 Gen 3 (Intel) 21SR0041GE | Ohne Originalverpackung,Notebookstore,1279.00,Lenovo,Notebooks,c00037,ThinkPad E16 G3 Intel Core Ultra 7 255H 32 GB RAM 1 TB SSD 21SR0041GE
o00038,G.Skill Ripjaws F5-6000J3040G32GX2-RS5K Speichermodul 64 GB 2 x 32 GB DDR5 288-pin DIMM,JB-Computer,1107.50,G.SKILL,Arbeitsspeicher,c00038,Ripjaws S5 DDR5-6000 64GB Kit (2x32GB) CL30 Schwarz F5-6000J3040G32GX2-RS5K
o00039,Google Pixel 9 Pro 5G Smartphone 256GB 16GB RAM obsidian Triple-Kamera 4700mAh,ebay.de,1215.90,Google,Handys ohne Vertrag,c00039,Pixel 9 Pro 256 GB Obsidian
o00040,"SAMSUNG 990 PRO Heatsink PS5 2 TB, Gaming Festplatte, Schwarz",Saturn Online Shop,599.99,Samsung,SSD Festplatten,c00040,990 PRO Heatsink PS5 2 TB MZ-V9P1T0GW
o00041,Garmin fenix 8 Pro 47mm AMOLED graphit/schwarz titan,Electronis.de,929.98,Garmin,Smartwatches,c00041,fenix 8 Pro AMOLED 47 mm Graphit/Schwarz Titan
o00042,ZOTAC Gaming GeForce RTX 5060 Ti Twin Edge OC 16GB GDDR7 - ZT-B50620H-10M,Electronis.de,572.24,Zotac,Grafikkarten,c00042,GeForce RTX 5060 Ti Twin Edge OC 16 GB GDDR7
o00043,DELONGHI EC685.W Dedica Espressomaschine weiß,e-tec,125.00,De'Longhi,Espressomaschinen,c00043,Dedica Style EC 685.W weiß
o00044,Canon PowerShot G7 X Mark III 20.1MP Kompaktkamera - Schwarz NEU OVP,ebay.de,1016.45,Canon,Kompaktkameras,c00044,PowerShot G7 X Mark III schwarz
o00045,"Apple MacBook Air - M5 - Apple M5 10-core - 16 GB RAM - 512 GB SSD - 38.91 cm (15.3"") - Navy",Kaufland.de,1471.35,Apple,Notebooks,c00045,"MacBook Air M5 2026 15,3'' 16 GB RAM 512 GB SSD 10-Core GPU Mitternacht"
o00046,"MSI Prestige 16 AI+ C3MG-07 Copilot+ PC Intel Core Ultra 7 355 Laptop 40,6 cm (16"") 2.8K 32 GB LPDDR5x-SDRAM 1 TB SSD Wi-Fi 7 (802.11be) Windows 11 Home Grau",JB-Computer,1581.18,MSI,Notebooks,c00046,Prestige 16 AI+ Intel Core Ultra 7 355 32 GB RAM 1 TB SSD Win11 Home C3MG-071
o00047,Apple iPhone Air 1TB Space Schwarz - Schwarz,Kaufland.de,1153.60,Apple,Handys ohne Vertrag,c00047,iPhone Air 1 TB Space Schwarz
o00048,Apple iPad Air 11 Wi-Fi 128GB M3 Blau Tablet,notebooksbilliger,570.00,Apple,Tablet PCs,c00048,"iPad Air 11"" (7. Generation 2025) 128 GB Wi-Fi Blau"
o00049,"ASUS ROG Strix Scar 18 G835LX Laptop; 18"" WQXGA 240Hz/3ms 16:10 MiniLED Display; Intel Core Ultra 9 275HX; 64GB RAM; 1TB SSD; NVIDIA RTX 5090; Win11 Home; QWERTZ; Off Black; 3Monate GamePass",Amazon Marketplace CE,5930.05,Asus,Notebooks,c00049,ROG Strix Scar 18 Intel Core Ultra 9 275HX 64 GB RAM 1 TB SSD RTX 5090
o00050,"MICROSOFT Surface Laptop 7 15"", schwarz, Core Ultra 5 236V, 16GB RAM,   256GB SSD, EU, Business",e-tec,1977.90,Microsoft,Notebooks,c00050,"Surface Laptop 7 15"" Intel Core Ultra 5 236V 16 GB RAM 256 GB SSD Schwarz"
o00051,Panasonic LUMIX DC-TZ300 dunkles silber,Calumet Photo Video,999.00,Panasonic,Kompaktkameras,c00051,Lumix DC-TZ300 Dunkelsilber
o00052,Kingston FURY Beast 16GB UDIMM Kit 2x8GB DDR5-5600 CL40-40-40 1RX16 - KF556C40BBK2-16 schwarz,Electronis.de,263.93,Kingston,Arbeitsspeicher,c00052,FURY Beast DDR5 5600MT/s 16GB Kit (2x8GB) CL40 Schwarz KF556C40BBK2-16
o00053,Apple Studio Display Nanotexturglas (VESA Mount Adapter) ohne Standfuß,ebay.de,1680.99,Apple,Monitore,c00053,Studio Display 27'' (2022) Nanotexturglas VESA Mount Adapter MYJL3D/A
o00054,Garmin - Fenix® 8 Amoled 47mm Pulsuhr graphit - orange,sport-bittl.com,828.00,Garmin,Smartwatches,c00054,"fenix 8 AMOLED 47 mm sapphire, graphit / titanium titan mit QuickFit Silikon-Armband 26 mm"
o00055,Panasonic Lumix DC-TZ300 dunkelsilber,Foto-Erhardt,999.00,Panasonic,Kompaktkameras,c00051,Lumix DC-TZ300 Dunkelsilber
o00056,XFX Swift Radeon RX 9070 OC Triple Fan Gaming Edition white 16GB GDDR6 - RX-97SWFT3W7,Electronis.de,652.06,Pine Technology,Grafikkarten,c00055,XFX Radeon RX 9070 Swift OC White Gaming 16 GB GDDR6 (RX-97SWFT3W7)
o00057,Jura E6 EC Piano Black (15437) - Schwarz,Kaufland.de,1249.99,Jura,Kaffeevollautomaten,c00056,E6 piano black (EC)
o00058,"Samsung TV 65"" (2025) Neo QLED 8K UHD - TQ65QN990FTXXC [Länderversion Französisch, Spanisch, Portugiesisch]...[Länderversion Französisch, Spanisch, Portugiesisch]",Amazon Marketplace CE,3087.18,Samsung,Fernseher,c00057,"TQE65QN990F 65"" Neo QLED 8K Vision AI Smart TV QN990F (EU-Modell)"
o00059,Lenovo Thinkpad X13 G7 21YH004EGE,lapstars,1988.00,Lenovo,Notebooks,c00058,ThinkPad X13 G7 Intel Core Ultra 7 355 32 GB RAM 512 GB SSD Win11 Pro 21H004EGE
o00060,"Philips Evnia 5000 32M2C5501/00 Computerbildschirm 80 cm (31.5"") 2560 x 1440 Pixel Quad HD LCD Weiß",Kaufland.de,234.52,Philips,Monitore,c00059,Evnia 5000 Series Curved 32M2C5501 32'' weiß
o00061,DeLonghi ECAM 310.60.B Magnifica EVO Next Kaffeevollautomat OneTouch schwarz,ebay.de,444.00,De'Longhi,Kaffeevollautomaten,c00060,Magnifica Evo Next ECAM 310.60.B Black
o00062,"AEG AP61HB21SH, Staubsauger, Weiss",Galaxus.de,238.78,AEG,Staubsauger,c00061,6000 Akku-Staubsauger AP61HB21SH
o00063,OPPO Reno15 5G 512GB Weiß,Gomibo.de,451.00,OPPO,Handys ohne Vertrag,c00062,Reno15 5G 8 GB RAM 512 GB Aurora White
o00064,"Samsung Galaxy A36 (256 GB, Awesome Black, 6.70"", Dual SIM, 5G), Smartphone, Schwarz",Galaxus.de,329.59,Samsung,Handys ohne Vertrag,c00063,Galaxy A36 5G 8 GB RAM 256 GB Awesome Black
o00065,Apple Watch Ultra 3 GPS + Cellular 49mm Natural Titanium Case with Light Blue Alpine Loop - Large,computeruniverse.net,858.90,Apple,Smartwatches,c00064,Watch Ultra 3 GPS + Cellular 49 mm Titangehäuse Natur Alpine Loop Hellblau L
o00066,Nintendo Switch Luigis Mansion 3,TECHNIKdirekt,48.50,Nintendo,Nintendo Switch-Spiele,c00065,Luigi's Mansion 3 (USK) (Nintendo Switch)
o00067,"Samsung Galaxy Tab S6 Lite P613N (2022) WiFi EU 64GB, Android, oxford grey",Amazon Marketplace PC Notebook,331.96,Samsung,Tablet PCs,c00066,Galaxy Tab S6 Lite 2022 Edition 10.4'' 64 GB Wi-Fi Oxford Gray
o00068,"HUAWEI Watch 5 46 Smartwatch Titanarmband, 140-210 mm, Titanium",ebay.de,399.00,Huawei,Smartwatches,c00067,Watch 5 46 mm silbernes Titanarmband
o00069,"BOSCH Küchenmaschine Serie 6 MUMS6ZS13D, Automatikprogramme, integr. 1g Waage, Durchlaufschnitzler, 1600 W, 5,5 l Schüssel, Knethaken/Rühr-/Silikonbesen schwarz",OTTO,549.00,Bosch,Küchenmaschinen,c00068,MUM Serie 6 MUMS6ZS13D Jet black matt
o00070,32GB (2x16GB) KINGSTON FURY Beast Black DDR5-5600 CL40 RAM Gaming Arbeitssp. Kit,computeruniverse.net,447.46,Kingston,Arbeitsspeicher,c00069,FURY Beast DDR5 5600MT/s 32GB Kit (2x16GB) CL40 Schwarz KF556C40BBK2-32
o00071,"Samsung Galaxy Tab S10 FE+ 5G 128GB Tablet (13,1"", 128 GB, Android,One UI,Knox, 5G) grau",OTTO,799.99,Samsung,Tablet PCs,c00070,Galaxy Tab S10 FE+ 13.1'' 128 GB 5G Gray
o00072,Apple Watch SE 3 GPS + Cellular 44mm mitternacht mit Sportarmband M/L mitternacht,Electronis.de,346.98,Apple,Smartwatches,c00071,Watch SE 3 GPS + Cellular 44 mm Aluminiumgehäuse Mitternacht Sportarmband Mitternacht M/L
o00073,"TFT Samsung ViewFinity S6 S24D600EAU 61 cm (24"")LED,HDMI,DisplayPort",Metro.de,212.97,Samsung,Monitore,c00072,ViewFinity S6 S60UD LS24D600EAUXEN 24'' schwarz
o00074,"KINGSTON Arbeitsspeicher ""64 GB 6000 MT/s DDR5 CL30 DIMM"", ohne farbbezeichnung, B:9,5cm H:1,5cm T:17cm, Arbeitsspeicher",baur.de,952.39,Kingston,Arbeitsspeicher,c00073,FURY Beast DDR5 6000MT/s 64GB Kit (2x32GB) CL30 Weiß KF560C30BWEK2-64
o00075,"ThinkPad L16 AMD G2 (21SC000FGE), Notebook - schwarz, AMD Ryzen 7 PRO 250, AMD Radeon 780M, 16 GB DDR5, 512 GB (512 GB SSD), Windows 11 Pro",Alternate,1229.00,Lenovo,Notebooks,c00074,ThinkPad L16 G2 AMD Ryzen 7 Pro 250 16 GB RAM 512 GB SSD 21SC000FGE
o00076,Gainward GeForce RTX 5060 Ti Ghost OC 16GB GDDR7 - NE7506TU19T1-GB2061B,Electronis.de,557.20,Gainward,Grafikkarten,c00075,GeForce RTX 5060 Ti Ghost II OC 16 GB GDDR7
o00077,"Lenovo IdeaPad 5 2-in-1 (16"", 512 GB, 16 GB, DE, Intel Core Ultra 5 225U), Notebook, Grau",Galaxus.de,759.00,Lenovo,Notebooks,c00013,"IdeaPad 5 2-in-1 16"" Intel Core Ultra 5 225U 16 GB RAM 512 GB SSD"
o00078,Hisense 55U7Q PRO - Schwarz,Kaufland.de,639.67,Hisense,Fernseher,c00076,55U7Q PRO 55 Zoll MiniLED ULED 4K Smart TV
o00079,"Motorola Edge 60 Pro 256GB Shadow EU 16,94cm (6,67"") OLED Display, Android 15, 50MP Triple-Kamera",notebooksbilliger,324.99,Motorola,Handys ohne Vertrag,c00077,Edge 60 Pro 8 GB RAM 256 GB PANTONE Shadow
o00080,Samsung 48 Zoll OLED S90F 4K Vision AI Smart TV (2025),ebay.de,879.00,Samsung,Fernseher,c00078,"GQ48S90F 48"" OLED 4K Vision AI Smart TV S90F"
o00081,Siemens EQ.700 classic TP715R07 Automatisk kaffemaskine Inox solvmetallisk - Espresso-Automat - 19 Bar - Schwarz/Silber,Kaufland.de,1224.00,Siemens,Kaffeevollautomaten,c00079,EQ.700 classic TP715R07 inox silber metallic
o00082,"Google Pixel 9a 128 GB Smartphone (16 cm/6,3 Zoll, 128 GB Speicherplatz, 48 MP Kamera) schwarz",OTTO,362.99,Google,Handys ohne Vertrag,c00080,Pixel 9a 128 GB Obsidian
o00083,Garmin - Fenix® 8 – 51mm Solar Pulsuhr sapphire - gelb,sport-bittl.com,928.00,Garmin,Smartwatches,c00081,fenix 8 Solar 51 mm Graphit/Titanium Titan Silikon-Armband 26 mm
o00084,"ASUS TUF Gaming VG27AQML5A QHD Monitor (27 Zoll, 2560 x 1440, 300Hz, Fast IPS, ELMB Sync, AMD FreeSync Premium, VESA DisplayHDR 400, 0,3ms Reaktionszeit, Lautsrecher, 2x HDMI, DisplayPort, Gaming AI)",amazon.de,239.90,Asus,Monitore,c00082,"TUF Gaming VG27AQML5A 27"""
o00085,"GOOGLE Pixel Watch 4 41 Wi-Fi Smartwatch Fluorelastomer, 130-215, Obsidian",Saturn Online Shop,349.00,Google,Smartwatches,c00083,Pixel Watch 4 41 mm Aluminiumgehäuse Matte Black/Sportarmband Obsidian
o00086,DJI Mic 3 Sender,coolblue,78.90,DJI,Mikrofone,c00084,Mic 3 Sender
o00087,Google Pixel 10 Pro (512GB) porcelain - Beige,Kaufland.de,1095.00,Google,Handys ohne Vertrag,c00085,Pixel 10 Pro 512 GB Porcelain
o00088,"SAMSUNG Galaxy Watch Ultra 47 mm Smartwatch Nitrilkautschuk, 90-140 mm, Titanium Blue",Media Markt Online Shop,379.00,Samsung,Smartwatches,c00086,Galaxy Watch Ultra (2025) LTE 47 mm Titanium Blue Marine Band Blue
o00089,"Samsung QLED Q7F2 4K 85 Zoll (214 cm) UHD Fernseher, Q4 AI Prozessor, Quantum Dot für Reale Farben, Upscaling, Knox Security, Gaming Hub, Kostenlose Inhalte, Smart TV",amazon.de,1072.95,Samsung,Fernseher,c00087,GQ85Q7F2 85'' QLED 4K Vision AI Smart TV Q7F2
o00090,"Lenovo ThinkPad P16v Gen 2 (Intel) – 16"", Intel Core Ultra 7 165H, 32 GB RAM, 512 GB SSD, RTX 500, Windows 11 Pro",Heinzsoft,1816.01,Lenovo,Notebooks,c00088,ThinkPad P16v G2 Intel Core Ultra 7 165H 32 GB RAM 512 GB SSD RTX 500 Win11 Pro 21KX004YGE
o00091,"128 GB 5G Smartphone 17,5 cm (6.9 Zoll) 2,4 GHz 50 MP Dual Kamera WiFi 5 (Midnight Black) Redmi 15C",Boomstore,140.96,Xiaomi,Handys ohne Vertrag,c00089,Redmi 15C 5G 4 GB RAM 128 GB Midnight Black
o00092,Tablet Samsung Galaxy Tab A11 X135 8.7 LTE 8GB RAM 128GB - Silver - Silber,Kaufland.de,239.91,Samsung,Tablet PCs,c00090,"Galaxy Tab A11 8,7"" 128 GB Silver"
o00093,"Samsung TQ65QN990FT, 165,1 cm (65""), 7680 x 4320 Pixel, Neo QLED, Smart-TV, WLAN, Schwarz - Schwarz",Kaufland.de,3087.18,Samsung,Fernseher,c00057,"TQE65QN990F 65"" Neo QLED 8K Vision AI Smart TV QN990F (EU-Modell)"
o00094,edge50 Fusion 8GB + 256 GB 5G Marshmallow Blue Smartphone,Expert,247.00,Motorola,Handys ohne Vertrag,c00091,Edge 50 Fusion 8 GB RAM 256 GB Marshmallow Blue
o00095,Acer Notebook,OTTO,749.31,Acer,Notebooks,c00092,Aspire Go 15 AG15-72P-51YA Intel Core 5 120U 16 GB RAM 512 GB SSD Win11 Home
o00096,Apple iPhone Air 512GB Schwarz,coolblue,969.00,Apple,Handys ohne Vertrag,c00093,iPhone Air 512 GB Space Schwarz
o00097,"Motorola Mobility Motorola Edge 60 Pro - 5G Smartphone - Dual-SIM - RAM 8 GB / Interner Speicher 256 GB - pOLED-Display - 6.7"" - 2712 x 1220 Pixel (120 Hz) (PB7X0090DE)",JACOB,363.25,Motorola,Handys ohne Vertrag,c00077,Edge 60 Pro 8 GB RAM 256 GB PANTONE Shadow
o00098,"Apple Tablet iPad Air 11 M4 2026, 11 Zoll, 5G & Wi-Fi, 256GB, 12GB RAM, iPadOS, violett",bueromarkt-ag.de,888.34,Apple,Tablet PCs,c00094,"iPad Air M4 2026 11"" 256 GB Wi-Fi + Cellular Violett"
o00099,"Sonicare 5300 Series HX7101/01, Elektrische Zahnbürste - schwarz",Alternate,61.90,Philips,Elektrische Zahnbürsten,c00095,Sonicare HX7101/01
o00100,"Samsung Galaxy A26 (128 GB, Black, 6.70"", Dual SIM, 5G), Smartphone, Schwarz",Galaxus.de,196.00,Samsung,Handys ohne Vertrag,c00096,Galaxy A26 5G 6 GB RAM 128 GB Black
o00101,"Acer Nitro V 16S ANV16S-71-77SA 16"" WQXGA IPS Core 7 240H 16GB/1TB RTX5070 Win11",computeruniverse.net,2182.16,Acer,Notebooks,c00097,Nitro V 16S AI ANV16S-71-77SA Intel Core 7 240H 16 GB RAM 1 TB SSD RTX 5070
o00102,Apple iPhone 17 512GB Mist Blue (MG6T4ZD/A),JACOB,1171.96,Apple,Handys ohne Vertrag,c00098,iPhone 17 512 GB Nebelblau
o00103,"Zündapp X850 Trekking E Bike 27,5 Zoll Pedelec 165-185 cm Trekking Fahrrad Riemenantrieb Elektrofahrrad 550Wh 7 Gang",netto-online.de,2279.00,Zündapp,E-Bikes,c00099,"X850 27,5 Zoll RH 53 cm Diamant schwarz"
o00104,"ASUS ExpertBook B1 B1503CVA-S76993X, Gentle Grey, Core 5 210H,     16GB RAM,    512GB SSD, DE",e-tec,814.65,Asus,Notebooks,c00100,"ExpertBook B1 15,6"" Intel Core Ultra 5 210H 16 GB RAM 512 GB SSD Win11 Pro Gentle Grey"
o00105,Philips Sonicare 6100 HX7403/01 Schallzahnbürste 2 Modi 3 Stufen Andruckkontroll,ebay.de,109.12,Philips,Elektrische Zahnbürsten,c00101,Sonicare 6100 Series HX7403/01 Marineblau
o00106,"MSI Katana 17 HX RTX 5070 (17.30"", 1000 GB, 16 GB, DE, Intel Core i7-14650HX), Notebook, Schwarz",Galaxus.de,1659.99,MSI,Notebooks,c00102,Katana 17 HX B14WGK-240 Intel Core i7-14650HX 16 GB RAM 1 TB SSD RTX 5070
o00107,"ASUS Vivobook 17 X1704VA-AU1118 17.3"" - Core 5-120U - Intel Graphics - 40GB R...",ebay.de,809.99,Asus,Notebooks,c00103,Vivobook 17 Intel Core 5 120U 40 GB RAM 512 GB SSD Win11 Pro Quiet Blue
o00108,Huawei Watch Fit 4 Pro Green Fluoroelastomer Strap,ebay.de,155.46,Huawei,Smartwatches,c00104,Watch Fit 4 Pro Titan Nylonarmband Grün
o00109,HUAWEI Rates-L29L Watch 5 titanium Smartwatch 46mm brown composite leather - Dunkelbraun,Kaufland.de,344.80,Huawei,Smartwatches,c00105,Watch 5 46 mm dunkelbraunes Kompositarmband
o00110,Garmin Forerunner 165 Music Schwarz/Schiefergrau,computeruniverse.net,279.00,Garmin,Smartwatches,c00106,Forerunner 165 Music schwarz/schiefergrau
o00111,Microsoft Surface Pro 13' OLED 16GB 512GB 11. Edt. platin - Silber,Kaufland.de,1488.00,Microsoft,Tablet PCs,c00107,Surface Pro 11 16 GB RAM 512 GB Snapdragon X Elite Platin + Keyboard 
o00112,32GB (1x32GB) KINGSTON FURY Beast Black EXPO DDR5-6000 CL36 RAM Arbeitsspeicher,Cyberport,368.09,Kingston,Arbeitsspeicher,c00108,FURY Beast DDR5 6000MT/s 32GB Modul (1x32GB) CL36 Schwarz KF560C36BBE2-32
o00113,"Lenovo ThinkPad P16s Gen 4 21QR - 180°-Scharnierdesign - AMD Ryzen AI 7 PRO 350/2 GHz - AMD PRO - Win 11 Pro - Radeon 860M - 32 GB RAM - 512 GB SSD TCG Opal Encryption 2, NVMe - 40.6 cm (16"")",Amazon Marketplace PC Notebook,1760.32,Lenovo,Notebooks,c00109,ThinkPad P16s G4 AMD Ryzen AI 7 PRO 350 32 GB RAM 512 GB SSD 21QR005AGE
o00114,"Galaxy S26 (Samsung.com only), 512 GB Silver Shadow",Samsung DE,1199.00,Samsung,Handys ohne Vertrag,c00110,Galaxy S26 512 GB Silver Shadow
o00115,Tcl 65p7k 65 ́ ́ 4k Qled Tv - Black,Techinn DE,481.99,TCL,Fernseher,c00111,65P7K 65 Zoll QLED 4K Google TV
