pair_id,brand_left,title_left,description_left,price_left,priceCurrency_left,brand_right,title_right,description_right,price_right,priceCurrency_right,label
p0011,,iPhone 4 Replacement Battery - Fix Kit / Nuevo / Part Only / Nuevo,"This iPhone 4 replacement battery is what you need to bring your dead iPhone 4 back to life!Install a new battery in six easy steps.Tested to confirm there are no cycles on the cell and the capacity is 95% or higher.100% factory tested with a customer return rate of only 1%.Assembled using high quality chipset from Texas Instruments.Spot tested by iFixit staff in San Luis Obispo, CA to ensure consistency of quality and capacity.Battery degradation is an inevitable part of your iPhone 4’s lifespan. Extend the life of your phone with this new replacement battery compatible with iPhone 4. If your iPhone 4 won't turn on, is stuck in a boot loop, has a \""service battery\"" warning, or simply won't hold a charge, this replacement battery may be what you need to fix it.",14.99,USD,SanDisk,SanDisk memory card SDXC 256GB Extreme Pro V30 U3,"Shoot without limitsOur most powerful and highest capacity SD™ UHS-I memory card delivers maximum speed for performance, reliability, and uncompromising image and 4K UHD video1 quality from your DSLR, advanced digital or HD video camera. Transfer speeds up to 95 MB/s* move your data fast for efficient post-production workflow.Speedsof up to 95MB/s read and 90MB/s writeFor maximum efficiency, SanDisk Extreme PRO SDHC and SDXC UHS-I Cards deliver extremely fast transfer speeds of up to 95MB/s for post-production workflow. Write speeds of up to 90MB/s handle rapid shots, sequential burst mode, and RAW plus JPEG capture with ease.Designed for professionalsProfessional cameras and high-resolution camcorders deserve the power, performance, capacity and reliability of SanDisk's latest innovations. This is why professional photographers and videographers trust SanDisk memory cards.4K UHD readyWith UHS Video Speed Class 30 (V30) and UHS Speed Class 3 (U3) ratings, the SanDisk Extreme PRO SDHC and SDXC UHS-I Cards let you capture uninterrupted 4K UHD and Full HD video. This makes it ideal for professionals recording extreme sports and other fast-action activities without dropping frames.Easy file recovery with RescuePRO Deluxe softwareThe card comes with a RescuePRO Deluxe data recovery software download offer. This software makes it easy to recover files that have been accidentally deleted (download required).Designed to withstand extreme environmentsSanDisk Extreme PRO SDHC and SDXC UHS-I Cards are shockproof, temperature-proof, waterproof and x-ray-proof, so you can enjoy your adventures without worrying about the durability of your memory card.",109.00,EUR,0
p0012,Brother,Brother HL-L6200DW Business Laser Printer,"HL-L6200DW Business Laser Printer. The Brother HL-L6200DW monochrome laser printer is a great choice for busy offices and workgroups with higher print volumes that need a reliable printer with a low cost per page. Maximize your productivity with fast printing up to 48ppm and automatic two-sided printing, and help lower your operating costs with a super high-yield replacement toner cartridge. Reduce paper refills with a 520-sheet capacity paper tray that holds more than a ream of paper or for even greater paper capacity add optional trays for a total capacity of 1,610 sheets. Advanced security features help protect sensitive documents and prevent unauthorized printing. Plus, enjoy flexible connectivity with Gigabit Ethernet and wireless network interfaces, and convenient mobile device printing.",229.99,USD,Brother,Brother HL-L5200DW Workgroup Mono Laser Printer + WiFi- Home printer,Brother HL-L5200DW Workgroup Mono Laser Printer + WiFi Small desktop / Home office Fast print speeds of up to 40ppm and automatic 2-sided printing Combined paper input of 300 sheets High speed wired (10Base-T/100Base-TX) and wireless (IEEE 802.11b/g/n) network interfaces plus Wi-Fi Direct and USB 2.0 connectivity,162.00,GBP,0
p0013,,Sony FE 50mm f/1.8 Standard Prime Lens,E-Mount Lens/Full-Frame FormatAperture Range: f/1.8 to f/22One Aspherical ElementDouble-Gauss Optical Design,484,AUD,,Sony 85mm f1.8 FE Lens (SEL85F18),"E-Mount Lens/Full-Frame FormatAperture Range: f/1.8 to f/22One Extra-Low Dispersion ElementDouble Linear AF MotorFocus Hold Button; AF/MF SwitchNine-Blade Circular DiaphragmWeather-Resistant DesignHigh corner-to-corner resolutionThis compact, easy-to-handle lens offers fine prime lens performance with high corner-to-corner resolution. A precision optical design includes one ED (Extra-low Dispersion) glass element to effectively minimise chromatic aberration, while spherical aberration is tightly controlled for high overall sharpness with smooth bokeh when required.Beautiful bokeh enhances portraitsSpherical aberration is carefully optimised to achieve the best possible balance between resolution and smooth, natural bokeh that can provide a perfect backdrop for a wide range of subjects, while a 9-blade circular aperture contributes to beautiful bokeh highlights. 85mm is often a photographer’s first choice for people and portraits.Mobile and manageable for active shootingA compact, lightweight design that is ideally matched to the α7 series offers a great blend of portability and high image quality for portraits, events, and more. Even though the SEL85F18 features and advanced optical design add up to impressive overall performance, its 371-gram (13.1 oz.) weight makes it a great choice for active, on-the-go shooting.Quiet, precise focus driveA double linear motor actuator system directly drives the lens’s focus mechanism without noisy intervening gears, for precision positioning and quiet operation that are great for movies as well as stills.Quality build, versatile featuresA customisable focus hold button can be assigned to other functions such as Eye AF, for example, while a wide, responsive focus ring offers improved manual focus comfort and precision. A dust and moisture resistant design plus other refinements add up to outstanding quality and photographic versatility.Reliable in challenging conditionsA sealed dust and moisture resistant design provides extra protection and ensures reliable operation in challenging environments. Shoot with confidence in light rain or windy conditions.",539,GBP,0
p0014,,Neff B57CR22N0B Slide & Hide Pyrolytic Single Oven,Neff B57CR22N0B Slide & Hide Built In Electric Pyrolytic Single Oven,744.66,GBP,,Neff B47CR32N0B Slide & Hide N70 Multifunction Single Oven - STAINLESS STEEL,"This stunning single oven from Neff is as functional as it is stylish. It features Neff's unique Slide&Hide disappearing door which retracts smoothly under the oven cavity, allowing plenty of room for manoeuvring and easier access into the oven. It has an incredible 71 litre capacity, 12 cooking functions and the very innovative Circo Therm technology. This allows for even cooking at all levels with no transfer of flavour across the food. So should you want to bake a cake and cook a curry together, no problem! Circo Therm Eco is for one level cooking and saves a staggering 30% more energy than the normal function. This oven is finished in stunning black glass with a state of the art TFT control screen.",749.00,GBP,0
p0015,,"SAMSUNG 65-inch Class QLED Q70T Series - 4K UHDDual LED Quantum HDR Smart TV with Alexa Built-in (QN65Q70TAFXZA, 2020 Model)","Size:65-Inch | Style:TV OnlyEquipped with Quantum Dot Technology, this TV unleashes a massive spectrum of a billion shades of color. A crisp 240Hz motion rate banishes blur and smooths out the picture for more fluid action. It even looks great when you’re not watching at all, thanks to Ambient Mode +. DISCLAIMERS: *Background feature accuracy may vary based on TV location and is dependent on wall designs, patterns and/or colors. SmartThings app on a mobile device (Android, iOS) is required for some functionality. App features may be limited at launch; please continue to check for updates.",5438.99,USD,Samsung,"Samsung QN65Q70TAFXZA 65\"" Class Q70T QLED 4K UHD HDR Smart TV (2020)","Quantum Processor 4KThe onboard processor helps optimize the picture to deliver a more immersive experience.4K AI UpscalingThis technology analyzes the input source to reduce image noise, restore lost detail, and add definition to the edges around objects and text.Adaptive PictureWhether in a sunlit living room or a darkened den, Adaptive Picture technology optimizes the TV by analyzing the picture and the room's lighting conditions for augmented images, wherever and wherever you watch.Dual LED Backlighting TechnologyThis technology uses a system of dedicated warm and cool LED backlights to adjust the contrast and color tone, allowing you to watch your movies and TV shows the way they were meant to be seen.Active Voice AmplifierActive Voice Amplifier technology is designed to analyze the ambient noise in your home and enhance the voices in the scene to help you hear dialogue clearly.Quantum HDR with HDR10+Quantum HDR is designed to bring out detail and contrast by expanding the range of color and detail beyond what's possible on non-HDR TVs. The dynamic tone mapping of HDR10+ creates deeper blacks and more vibrant imagery with compatible content and source devices.100% Color Volume with Quantum DotWith 100% color volume (in the DCI-P3 color space), the Q70T is engineered to provide lifelike images without washing out at any brightness level.Real Game Enhancer+With this technology, extra motion clarity automatically reduces halo and blur in fast-moving game scenes, and AMD FreeSync helps reduce tearing and stuttering.Boundless DesignThe thin bezel and minimalist design of the TV helps draw you into your content.Ambient Mode+This mode is designed to allow the TV to mimic the wall behind it and display décor, artwork, weather reports, the day's headlines, and more.OneRemote for Your Connected DevicesThe included OneRemote can automatically detect and control all compatible connected devices and content.Universal GuideThe universal guide brings your favorite content from multiple compatible devices and apps together in one easy-to-browse menu. It recommends popular shows and can make custom recommendations tailored just for you.Multi ViewThis feature splits your TV screen in two, putting the content you're watching on one side while mirroring your compatible mobile device on the other, allowing you to watch workout videos, check sports stats, and more while watching your favorite show or game.Choose Your Voice AssistantWith both Bixby and Amazon Alexa built-in, you can access your favorite content, get answers, and control the TV and other compatible connected devices around your home with just your voice.SmartThings CompatibilityThe Q70T TV works with SmartThings to put you in control of your compatible smart home devices. It links with IoT devices and sensors, enabling you to turn on the lights, check what's inside your refrigerator, and run the robot vacuum cleaner from the comfort of your couch.Motion Rate 240This image enhancement technology helps minimize motion blur on the screen, so your action-packed movies and sports stay smooth.Wide Viewing AngleThe TV is designed to reduce glare and enhance color, providing vibrant images from nearly any viewing angle.TV PlusTV Plus lets you enjoy your favorite content through virtual channels.HDMI ConnectivityEnjoy high-resolution audio and video with an HDMI connection that transmits both over a single cable. The onboard HDMI ports support 4K UHD and HDR content decoding, and one input is eARC-compatible.Integrated Wi-Fi 5Enjoy your favorite on-demand content wirelessly via your existing network.Dolby Digital PlusThis audio technology helps optimize your entertainment experience with enhanced sound richness and clarity.Additional FeaturesMeets the CTA HDR-Compatible definitionHDMI 2.1 (HDMI input 4)Supreme UHD DimmingDolby audioMultiroom LinkWi-Fi DirectSmart HubFull web browserDigital Clean ViewAuto channel searchAuto Motion PlusConnectShare for USB multimedia playbackEmbedded POPInstaPort S (HDMI Quick Switch)Anynet+ HDMI CECClosed captioningElectronic program guideV-ChipUSB HID supportEco sensorAuto power offTV to mobile device and mobile device to TV mirroring via DLNAAnalog tunerMini Wall Mount compatibilityRS232 control (Ex-Link)IP control support with optional third-party softwareE-Manual",1199.99,USD,1
p0016,,Cappello New Era Clean Trucker 2 NY Yankees Cap,,2.19E1,EUR,,Kšiltovka New Era Clean Trucker 2 New York Yankees,,544,CZK,1
p0017,,SanDisk Extreme Pro 64GB microSDXC Memory Card + SD Adapter,"Perfect for your action camera or drone, Write speeds of up to 90MB/s, Great for Capturing 4K UHD Video, Loads apps faster with A2",19.49,GBP,,SANDISK MicroSDXC Extreme Pro 64GB 170MB/s A2 C10 V30 U3,64GB MicroSD Kort,479.20,DKK,1
p0018,,"X945X2KG BLACK TONER YIELD 36,000 PAGES FOR X940E, X945E","X945X2KG BLACK TONER YIELD 36,000 PAGES FOR X940E, X945E",458.87,AUD,OKI,"Genuine OKI 43872305 Yellow Toner Cartridge (2,000 pages) for OKI C5650, C5750 Printers","OKI Yellow Toner Cartridge (2,000 pages) in More DetailYellow Toner Cartridge (2,000 pages) for OKI C5650, C5750 Printers. Designed specifically for use with OKI Printing Solutions colour printers. Up to 2,000 pages A4 at 5% density. Compatible with the C5650 A4 colour printers. This high definition toner gives greater glossiness and reduces graininess.The team at OKI have developed the Yellow Toner Cartridge (2,000 pages) (43872305) to ensure all your prints are to the same high standard, from the first to last. Incredibly simple to install and offering a vibrant, high clarity Yellow tone, the cartridge helps you get the most from your laser printer – whether you are printing at home or at the office.Guaranteed to work with all C5650,C5750 models, the Yellow Toner Cartridge (2,000 pages) (43872305) will prove to be a valuable investment time and again for businesses of all sizes. With a yield of 2000 pages, the cartridge can ensure you require fewer replacements, seriously cutting your print overheads in the long term.Amongst the major benefits of using OKI laser printer technology rather than inkjet machines is the increased efficiency afforded by these original branded toner cartridges. Increasing the number of pages printed from a single cartridge, toner and laser printer technology can help control overheads and reduce replacement responsibilities.Furthermore, the high print quality provided by toner cartridges within laser printers can help ensure that all prints are completed to the highest possible standard. For both home and workplace print jobs, the cutting edge service provided by our official OKI toner cartridges can ensure that all jobs capture the nuances of tone and character.Having received extensive manufacturing training, the Printerland team is made up of dedicated print specialists and experts. As the UK’s largest independent reseller of printers,we are able to offer completely honest, transparent and impartial advice to all of our customers – ensuring you are guided to the perfect product for your requirements.",107.71,GBP,0
p0019,,TP-Link EAP225-Outdoor AC1200 Wireless MU-MIMO Gigabit Outdoor Access Point,"Easy-Mount Design, PoE Power Supply, Business-Class Hardware Design, Advanced RF Management",81.27,GBP,,TP-LINK - 300Mbps Access Point,TP-LINK 300Mbps Access Point (EAP110) - Hastighet: 300Mbps - Type: Aksesspunkt,551.00,NOK,0
p0020,Samsung Color,Compatible Samsung© CLT-K406S [Black] Toner Cartridge,"Get your printing right the first time and every time. This eco-friendly cartridge is compatible with the Samsung CLT-K406S. You will get first-rate print quality with crisp vibrant output from the first page to thelast. We make all of our cartridges with the highest quality new and recycled components in ISO9001 / ISO14001 certified factories. They are easy to install, affordable and deliver sharp professional results every time you print.",29.99,USD,,ASUS TUF3 GTX 1660S OC - 6GB3XFANS1XHDMI1XDP,,,,0
p0021,Garmin,"Garmin Venu Smartwatch, black/slate grey",,379.99,EUR,,Canon PG-40/CL-41 C/M/Y Ink Cartridge Multipack,Save on ink and enjoy the convenience of a multipack that includes a black and colour FINE cartridge,530.0,SEK,0
p0022,,Ernie Ball Power Slinky 11-48 Electric Guitar Strings,Ernie Ball Power Slinky 11-48 Electric Guitar Strings,7.99,USD,,Ernie Ball 11-48 Power Slinky,Ernie Ball Power Slinky Electric Strings are a perfect match for those who like chunky rhythms for rock and roll or blues. Power Slinkys have long been favored,5.49,USD,1
p0023,samsung,SAMSUNG QN55Q60TAF 55 Inch 4K UHD QLED HDR Smart TV - 54.6 Inch Diagonal,"As intelligent as it is beautiful. A SAMSUNG QN55Q60TAF 55 Inch 4K UHD QLED HDR Smart TV - 54.6 Inch Diagonal interface learns the content you like and makes suggestions based on what you watch. Concentrated zones of LED backlighting deliver heightened contrast and impeccable detail. And with Object Tracking Sound, you won’t just see the action, you’ll feel it in your bones.",697.99,USD,,TONER REMAN SAMSUNG CLT-K404S NERO,,"16,99",EUR,0
p0024,,Cooler Master MasterLiquid ML360R RGB,"The MasterLiquid ML360R RGB all-in-one liquid CPU cooler is custom, inside, and out. Our low-profile dual chamber pump outperforms its single chamber predecessors in heat transfer. The MasterFan Air Balance fans work with our characteristically sturdy build quality to keep this thing as quiet as a l",244.95,CAD,,Cooler master ventola master liquid ML120R rgb lga 775>2066 amd AM2>FM1,VENTOLA MASTER LIQUID ML120R RGBLGA 775>2066 AMD AM2>FM1,97.54,EUR,0
p0025,Shimano,Shimano Cassette Ultegra R8000 11 Speed 11-28T,Shimano Cassette Ultegra R8000 11 - 28T,150.00,AUD,ASUS,Asus ROG Strix Radeon™ RX 5700 XT OC edition 8GB GDDR6 Graphic Card ROG-STRIX-RX5700XT-O8G-GAMING,,847,AUD,0
p0026,,ASUS ROG-STRIX-RTX2070-O8G-GAMING NVIDIA GeForce RTX 2070 8 GB GDDR6,"ROG-STRIX-RTX2070-O8G-GAMING, GeForce RTX 2070, 8 GB, GDDR6, 256 bit, 7680 x 4320 Pixeles, PCI Express 3.0",433.49,EUR,,Xerox - Toner - Giallo - 106R01162 - 25.000 pag,Toner giallo phaser 7760,504.74,EUR,0
p0027,Avid,Avid G2 Clean Sweep Disc Brake Rotor (6-Bolt) (1) (160mm),"Avid Rotors and Rotor Mounting Parts.Features:G2 CleanSweep excellent choice for the Elixir 1/3, mechanical disc brakes and all older Avid brake modelsG3 CleanSweep great choice for Code brake modelsFeatures CleanSweep edges that keep pads clean while providing maximum stopping power and cooling(IS) International Standard 6-bolt (44mm BCD), (RH) 4-bolt Rohloff SpeedHub specificAvailable in 140mm, 160mm, 180mm, 200mm, and 203mm Specs:Model Description:G2 CleanSweep disc rotor This product was added to our catalog on March 4, 2019",33.49,USD,,"ASUS ROG Strix X570-E Gaming, S-AM4","Bundkort, ATX, X570, DDR4, 2xPCIe 4.0 x16, SLI/CFX, 2x M.2, USB 3.2",2399.00,DKK,0
p0028,SONY,Sony 10-18mm f/4.0 OSS SEL Lens,,,,,Sony SEL FE 35mm f/2.8 ZA Sonnar T* E-Mount Lens,,999.99,CAD,1
p0029,Apple,Apple Apple Lightning to VGA Adapter,Apple Lightning to VGA Adapter,75.00,AUD,Apple,Apple Apple Lightning to Digital AV HDMI Adapter,"Use the Lightning Digital AV Adapter with your iPhone, iPad, or iPod with Lightning connector. The Lightning Digital AV Adapter supports mirroring of what is displayed on your device screen — including apps, presentations, websites, slideshows, and more —",29.00,BHD,0
p0030,,Cisco Catalyst 3850-48P-S - switch - 48 ports - managed - rack-mountable,"The Cisco Catalyst 3850 series is the enterprise-class stackable access-layer switches that provide full convergence between wired and wireless on a single platform. Cisco's Unified Access Data Plane (UADP) application-specific integrated circuit (ASIC) powers the switch and enables uniform wired-wireless policy enforcement, application visibility, flexibility and application optimization. The Cisco Catalyst 3850 series switches support full IEEE 802.3at Power over Ethernet Plus (PoE+), modular and field-replaceable network modules, redundant fans and power supplies.",13005.99,USD,Ubiquiti Networks,Ubiquiti EdgeSwitch 16 - Switch - 16 Ports - Managed - Rack-Mountable - Black (ES-16-150W),"Ubiquiti Networks networks networks edge switch 16-port, 150WUbiquiti Networks networks edge switch 16-Port, 150W.",304.99,USD,0
p0031,,G.SKILL Trident Z Neo (For AMD Ryzen) Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM DDR4 3600 (PC4 28800) Desktop Memory Model F4-3600C16D-16GTZNC,VLSKU:105469DDR4 3600 (PC4 28800)Timing 18-22-22-42CAS Latency 18Voltage 1.35VCompatible with AMD Ryzen 3000 Series CPUs & AMD X570 Motherboards,154.99,CAD,Corsair,Corsair Value Select 8GB PC4-17000 - 8 GB - 1 x 8 GB - DDR4 - 2133 MHz - 288-pin DIMM,Value Select 8GB PC4-17000 - 8 GB - 1 x 8 GB - DDR4 - 2133 MHz - 288-pin DIMM,37.71,EUR,0
p0032,,Epson T596900 Light Light Black 350ml Ultrachrome HDR,,189.99,CAD,DJI,DJI DJI | Mavic Mini Drone Fly More Combo,"The compact yet powerful Mavic Mini is the perfect creative companion, capturing your moments in a way that effortlessly elevates the ordinary. Together with the easy-to-use DJI Fly app, youÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢ll enjoy a simplified flyin",649.99,CAD,0
p0033,,Genuine Brother LC1220BK Ink Cartridge – Black,The Brother LC1220BK Black Ink Cartridge – Single Pack. Prints 300 pages.,19.19,GBP,,Garmin VENU Smartwatch Black 010-02173-12 Leather Strap,,329.99,GBP,0
p0034,RAM MOUNTS,"RAM Handlebar U-Bolt Mount for Rails from 0.5\"" to 1.25\"" in Diameter - RAM-B-149ZU","Description Specs & Features Videos Additional BaseThe RAM-B-149ZU consists of a zinc coated u-bolt base, double socket arm and diamond adapter base. The diamond adapter base has a hole pattern that matches the industry standard AMPS hole pattern and will connect to a large variety of RAM Mount and third party cradles. Included in this package is hardware that will accommodate rails from 0.50\"" to 1.25\"" in diameter. A composite rail adapter can narrow the rail to a minimum width of 0.5”. The mount is designed with a RAM 1\"" diameter patented rubber ball and socket system that has adjustment points at both ends of the double socket arm; this allowing for almost infinite adjustment and perfect viewing angles.Material:Powder Coated Marine Grade AluminumBall Size:1\"" Rubber Ball \""B\"" SizeNote:The \""U\"" in the part number reflects product packaged in poly bag.Weight:0.63 lbs.U-Bolt Dimensions:0.50\"" to 1.25\""RAM Handlebar Rail Mount with Zinc Coated U-Bolt Base for Rails from 0.5\"" to 1.25\"" in DiameterRAM® Mounts for MotorcyclesRAM® Mounts Interchangeable ComponentsRAM® Torque™ 1 1/8\"" - 1 1/2\"" Diameter Handlebar/Rail Base with 1\"" Ball - RAM-B-408-112-15URAM 3.3\"" Diameter Suction Cup Base with B Size 1\"" Ball - RAM-B-224-1URAM Small Tough-Claw™ with B Size 1\"" Diameter Rubber Ball - RAP-B-400URAM Motorcycle Fork Stem Base with 1\"" Ball - RAM-B-342URAM Motorcycle Brake/Clutch Reservoir Base with 1\"" Ball - RAM-B-309-1URAM Rail Base with Stainless Steel U-Bolt & 1\"" Ball for Rails from 0.5\"" to 1\"" in Diameter - RAM-B-231URAM Motorcycle Base with 9mm Hole and 1\"" Ball - RAM-B-272URAM Motorcycle Handlebar Clamp Base with M8 Screws - RAM-B-367URAM 2.25\"" x 0.87\"" Motorcycle Base with 11mm Hole and 1\"" Ball - RAM-B-252URAM V-Shape Base with 1\"" Ball for Rails and Yokes - RAM-B-108BURAM Motorcycle Brake/Clutch Reservoir Cover Base with 1\"" Ball Offset - RAM-B-346URAM Flex Adhesive Base with 1\"" Ball - RAP-B-378URAM Universal Small Tough-Clamp™ with 1\"" Diameter Rubber Ball - RAP-B-397-1URAM Rail Base with Zinc Coated U-Bolt, ATV/UTV Strap & 1\"" Ball for Rails to 3.15\"" in Diameter - RAM-B-231Z-2URAM 2.5\"" Round Base with the AMPs Hole Pattern, 1\"" Ball & Triple Magnetic Base Adapter - RAM-B-202-339URAM Yoke Clamp Base with 1\"" Rubber Ball - RAM-B-121BURAM Diamond Plate 2.43\"" x 1.31\"" with B Size 1\"" Ball - RAM-B-238UCompatible Torque™BasesRAM® Torque™ 1 ½\"" – 2\"" Diameter Rail Base with 1\"" Ball - RAM-B-415-15-2U",30.99,USD,,Jabra Engage 75 MonoWireless Headset,"VoIP and Asterisk hardware including IP phones, cards, gateways & more.",255.90,GBP,0
p0035,Shimano,Shimano PD-R550 SPD-SL pedal black,"Shimano PD-R550 SPD-SL pedal blackRoad bike pedals in Tiagra quality. The low cost entry into the SPD-SL system.- Wide pedal platform for foot-pedal stability- Low maintenance sealed cartridge axle unit- Large binding target for quick engagement- Adjustable cleat tension with indicators- Use: Road Series- Model: PD-R550- SPD-SL: single sided- Pedal axle: Chromoly steel- Sealed mechanism: Yes- Release tension adjustable: Yes- Pedal body: Aluminum painted- Pedal body cover: Plastic- Cleats: SM-SH11, Cleats optional: SM-SH10/SM-SH12- Weight: 310g / pairDelivery: incl.cleats",55.19,EUR,Shimano,Shimano PD-RS500 SPD-SL,,60.00,USD,0
p0036,,SEAGATE EXTERNAL HDD MOBILE DRIVE 5TB USB 3.1 USB TYPE C 2 YEAR CARRY IN WARRANTY,,,,,Lacie 5TB Mobile Drive USB-C Moon Silver,,184.204801,EUR,1
