offer_id,title,merchant_id,category_id,category_label,cluster_id,cluster_label
o00016,hp intel xeon dp x5677 quad core 4 core 3.46 ghz processor upgrade,73,2615,CPUs,c07303,HP Intel Xeon X5677 3.46GHz Socket 1366 3200MHz bus Upgrade Tray
o00017,beko wtg741m1s 7 kg 1400 spin washing machine silver,7,2620,Washing Machines,c42225,Beko WTG741M1S
o00018,miele g 4940 sc freestanding dishwasher,307,2619,Dishwashers,c40640,Miele G 4940 SC
o00019,apple iphone 8 4.7 inch 256gb 12mp mobile phone silver,3,2612,Mobile Phones,c00010,Apple iPhone 8 256GB
o00020,samsung galaxy j5 2017 sm j530f 5.2 4g 2gb 16gb 3000mah black,14,2612,Mobile Phones,c00026,Samsung Galaxy J5 SM-J530
o00021,bosch geschirrsp ler exclusiv perfectdry unterbau edelstahl smu68is01d,298,2619,Dishwashers,c41345,Bosch SMU68IS01D Stainless Steel
o00022,smeg fab30lfo 50s style orange fridge freezer,293,2622,Fridge Freezers,c44578,Smeg FAB30LFO Orange
o00023,smeg fab50lpb 80.4cm 50s style pastel blue lefthand hinge frost free fridge freezer,294,2622,Fridge Freezers,c44445,Smeg FAB50LPB Blue
o00024,hotpoint xal85t1igwtd freestanding fridge,313,2622,Fridge Freezers,c44606,Hotpoint XAL85T1IGWTD Graphite
o00025,samsung 65 nu8000 led tv ue65nu8000txxu mw01,26,2614,TVs,c04426,Samsung UE65NU8000
o00026,aeg einbau k hlschrank sfb68821af,298,2623,Fridges,c47174,AEG SFB68821AF Integrated
o00027,samsung ue49ks8000 8 series suhd quantum dot ultra hd premium hdr 1000 smart tv open box mint condition,191,2614,TVs,c05633,Samsung UE49KS8000
o00028,neff integrierbare k hl gefrierkombination k4405x0 flachscharnier kg715a1,298,2622,Fridge Freezers,c45081,Neff KG715A1 Integrated
o00029,zanussi zwf01483wr freestanding a rated washing machine white,3,2620,Washing Machines,c42318,Zanussi ZWF01483WR
o00030,gorenje ork193c l 60cm freestanding left door fridge freezer cream,289,2622,Fridge Freezers,c44569,Gorenje ORK193C-L Cream
o00031,nordmende dssn60ix semi integrated dishwasher stainless steel,294,2619,Dishwashers,c41256,Nordmende DSSN60IX Stainless Steel
o00032,caple caff41 french style fridge freezer stainless steel,301,2622,Fridge Freezers,c44828,Caple CAFF41 Stainless Steel
o00033,hotpoint rlfm171g,341,2623,Fridges,c47069,Hotpoint RLFM171G Grey
o00034,intel xeon processor 2.80 ghz 512k cache 533 mhz fsb,14,2615,CPUs,c07876,Intel Xeon 2.8GHz Socket 604 533MHz bus Tray
o00035,bosch ksv33vw30g exxcel upright fridge 176x60cm,160,2623,Fridges,c46550,Bosch KSV33VW30G White
o00036,smeg free standing dishwasher in silver,31,2619,Dishwashers,c40562,Smeg DF612SVE Silver
o00037,apple iphone 7 plus 32gb silver,9,2612,Mobile Phones,c00002,Apple iPhone 7 Plus 32GB
o00038,beko free standing slimline dishwasher in black,31,2619,Dishwashers,c40660,Beko DFS05010B Black
o00039,liebherr t 1410 freistehend 138l a wei,119,2623,Fridges,c46183,Liebherr T1410 White
o00040,intel core intel core i9 7980xe extreme edition processor 24.75m c,18,2615,CPUs,c05964,Intel Core i9-7980XE 2.6GHz Box
o00041,smeg fab28rdbb blackboard refrigerator,346,2623,Fridges,c46505,Smeg FAB28RDBB Black
o00042,washing machine,347,2620,Washing Machines,c42085,Hoover DXOA 412AHFN-80
o00043,gorenje k hl /gefrier kombination rk 61620 c eek a,298,2622,Fridge Freezers,c45374,Gorenje RK61620C Cream
o00044,liebherr sbsbs 7263 blacksteel 620ltr a /a,294,2622,Fridge Freezers,c45240,Liebherr SBSbs 7263 Stainless Steel
o00045,indesit ecotime dfg15b1k 13 place setting dishwasher black a,125,2619,Dishwashers,c40551,Indesit DFG15B1K Black
o00046,bosch k hlschrank schleppt r technik kir41vs30,298,2623,Fridges,c47296,Bosch KIR41VS30 Integrated
o00047,russel hobbs rhclrf17 cooler 17 litre white energy class a,4,2623,Fridges,c46309,Russell Hobbs RHCLRF17 White
o00048,miele kfn28132 edt/cs frost free fridge freezer,163,2622,Fridge Freezers,c45577,Miele KFN 28132 edt/cs Stainless Steel
o00049,bosch smv46mx00e geschirrsp ler vollintegrierbar mit varioschublade 60cm,300,2619,Dishwashers,c40805,Bosch SMV46MX00E Integrated
o00050,beko cf1300apw chest freezer,129,2621,Freezers,c43341,Beko CF1300APW White
o00051,beko fcfm1545w a freestanding tall frost free freezer,32,2621,Freezers,c43270,Beko FCFM1545W White
o00052,amd athlon ii x4 880k 4 ghz 4 mb cache speicher socket fm2 ad880kxbjcsbx,36,2615,CPUs,c06005,AMD Athlon X4 880K 4.0Ghz  Box
o00053,gorenje k hlschrank h 185 cm r 6193 lx,300,2623,Fridges,c47217,Gorenje R6193LX Stainless Steel
o00054,siemens geschirrsp ler 45 cm speedmatic45 iq300 sr536s07ie,298,2619,Dishwashers,c41144,Siemens SR536S07IE Stainless Steel
o00055,beko built in full size dishwasher,173,2619,Dishwashers,c40760,Beko DIN14C11 Integrated
o00056,lg hospitality display 49lv341h led tv 124 46 cm 49 schwarz,99,2614,TVs,c04625,LG 49LV341H
o00057,waeco crp40 39l compressor fridge,369,2623,Fridges,c47231,Dometic CRP 40 Silver
o00058,canon eos m50 body white,87,2617,Digital Cameras,c38964,Canon EOS M50
o00059,bea fon c260 rot,2,2612,Mobile Phones,c00608,Bea-fon C260
o00060,smeg fab5rbl 50s style glossy retro minibar black,293,2623,Fridges,c46381,Smeg FAB5RBL Black
o00061,panasonic nn sf464mbpq,290,2618,Microwaves,c39697,Panasonic NN-SF464MBPQ Silver
o00062,russell hobbs rh55ff171w 55cm wide 170 high fridge freezer white,6,2622,Fridge Freezers,c44858,Russell Hobbs RH55FF171W White
o00063,liebherr freezer built under,315,2621,Freezers,c43640,Liebherr UIG1313 White
o00064,intel core i3 6100t 3.2 ghz 2 cores 4 threads 3 mb cache lga1151 socket oem,51,2615,CPUs,c06105,Intel Core i3-6100T 3.2GHz Tray
o00065,lec r5511s undercounter fridge silver,7,2623,Fridges,c46370,Lec R5511S Silver Silver
o00066,apple iphone 8 256 gb blush gold,2,2612,Mobile Phones,c00010,Apple iPhone 8 256GB
o00067,smeg fab30lfn fifties style left hand hinge top mount freestanding fridge freezer black,6,2622,Fridge Freezers,c44419,Smeg FAB30LFN Black
o00068,iceking cf60ap/cf60ap,98,2621,Freezers,c43552,Iceking CF60AP White
o00069,russell hobbs rhm2572cg combination microwave stainless steel,7,2618,Microwaves,c40088,Russell Hobbs RHM2572CG Stainless Steel
o00070,russell hobbs rhmm701r 17l manual 700w solo microwave red,17,2618,Microwaves,c39771,Russell Hobbs RHMM701R Red
o00071,estar s17 single uk sim free mobile phone red,17,2612,Mobile Phones,c00490,Estar S17
o00072,static built in freezer,347,2621,Freezers,c43265,Bosch GID18A20GB Integrated
o00073,sony cybershot rx100 mk3 20.1mp 2.9x zoom compact camera,22,2617,Digital Cameras,c38863,Sony Cyber-shot DSC-RX100 III
o00074,hotpoint nm10844gs ultra efficient 8kg 1400rpm freestanding washing machine graphite,15,2620,Washing Machines,c42635,Hotpoint NM10 844 GS UK
o00075,nokia 216 2.4 82.6g black feature phone,14,2612,Mobile Phones,c00067,Nokia 216
o00076,samsung 40 inch 40nu7120 4k uhd smart tv with hdr,91,2614,TVs,c04436,Samsung UE40NU7120
o00077,sony kdl43wf663bu 43 full hd hdr smart led tv,125,2614,TVs,c04495,Sony KDL-43WF663
o00078,philips 24pft5303/05 24 inch full hd led tv with freeview hd black 2018 model,3,2614,TVs,c04736,Philips 24PFT5303
o00079,bosch serie 2 kgn33nl3ag freestanding fridge freezer stainless steel look,6,2622,Fridge Freezers,c44187,Bosch KGN33NL3AG Stainless Steel
o00080,intel core i9 7980xe 2.6ghz eighteen core socket 2066 processor,3,2615,CPUs,c05964,Intel Core i9-7980XE 2.6GHz Box
o00081,lg s5200,48,2612,Mobile Phones,c01795,LG S5200
o00082,siemens ki42lad30 freistehend 196l a wei,119,2623,Fridges,c46681,Siemens KI42LAD30 Integrated
o00083,sony fw 55xe8001 55 4k hdr professional display,4,2614,TVs,c04814,Sony Bravia FW-55XE8001
o00084,bosch gsn33vw3pg 60cm serie 4 freestanding frost free freezer white,301,2621,Freezers,c43287,Bosch GSN33VW3PG White
o00085,hewlett packard enterprise intel xeon 50603.2ghz processor 4mb l2intel xeon processor sequence 5000 3.2ghz socket lga 771 j server/workstation 65nm 64 bit,17,2615,CPUs,c07666,HP Intel Xeon 5060 Dual-Core 3.2GHz Socket 771 1066MHz bus Upgrade Tray
o00086,apple iphone 8 11.9 cm 4.7 256 gb 12 mp ios 11 grey,18,2612,Mobile Phones,c00010,Apple iPhone 8 256GB
o00087,privileg geschirrsp ler edelstahl rbc 3b19 x,298,2619,Dishwashers,c41107,Privileg RBC 3B19 X Stainless Steel
o00088,blomberg ldf42240w full size dishwasher white a rated,133,2619,Dishwashers,c40488,Blomberg LDF42240W White
o00089,bravia kdl32we613 32 hdr led smart tv,124,2614,TVs,c04453,Sony Bravia KDL-32WE613
o00090,intel xeon e3 1280 v3 quad core 4 core 3.60 ghz processor,73,2615,CPUs,c06266,Intel Xeon E3-1280 v3 3.6GHz Tray
o00091,gorenje onrk193c,330,2622,Fridge Freezers,c44929,Gorenje ONRK193C-L
o00092,candy gv159twc3/3 80 grando 9kg 1500rpm freestanding washing machine white,6,2620,Washing Machines,c42742,Candy GV159TWC3
o00093,bosch kgn34xw35g serie 4 60/40 frost free fridge freezer white,294,2622,Fridge Freezers,c44058,Bosch KGN34XW35G White
o00094,hotpoint rd966jd uk washer dryer white,7,2620,Washing Machines,c42050,Hotpoint RD966JD
o00095,beko dis15011 10 place slimline fully integrated dishwasher,15,2619,Dishwashers,c40882,Beko DIS15011 Integrated
o00096,bosch einbau k hl /gefrier kombination flachscharnier kin85af30 eek a,298,2622,Fridge Freezers,c45352,Bosch KIN85AF30 Integrated
o00097,liebherr gp1213 55cm freestanding undercounter freezer white,301,2621,Freezers,c43360,Liebherr GP 1213 Comfort White
o00098,liebherr einbau k hlschrank comfort mit biocool ik 1624,298,2623,Fridges,c46466,Liebherr IK 1624 Comfort Integrated
o00099,siemens stand gefrierschrank nofrost iq500 wei gs36ndw4p,298,2621,Freezers,c43835,Siemens GS36NDW4P White
o00100,sharp r860slm flatbed combination microwave,153,2618,Microwaves,c40012,Sharp Microwave R870SLM Silver
o00101,gorenje bm171a4xg built in microwave oven grill 17l lcd display black,131,2618,Microwaves,c39799,Gorenje BM171A4XG Stainless Steel
o00102,intel xeon e3 1230v3 3.3 ghz 4 cores 8 threads 8 mb cache lga1150 socket oem,51,2615,CPUs,c06121,Intel Xeon E3-1230 v3 3.3GHz Tray
o00103,fridgemaster mul49102b fridge larder 50cm 3.6cf a rated black,131,2623,Fridges,c46272,Fridgemaster MUL49102B Black
o00104,hoover hbrup160k fully integrated larder fridge,3,2623,Fridges,c46339,Hoover HBRUP160K Integrated
o00105,intel core i5 i5 3475s quad core 4 core 2.90 ghz processor,73,2615,CPUs,c06277,Intel Core i5-3475S 2.9GHz Tray
o00106,kodak pixpro fz43 digital camera,249,2617,Digital Cameras,c38918,Kodak PixPro FZ43
o00107,sharp r764wm 25l 900w freestanding microwave oven with grill white,6,2618,Microwaves,c39836,Sharp R764WM White
o00108,smeg sf109n 60cm black linea single oven,179,2620,Washing Machines,c42443,Hotpoint WDUD9640P
o00109,smeg fridges and freezers minibar fab5ruj2 220 240 v,314,2623,Fridges,c46382,Smeg FAB5RUJ2 Retro
o00110,sony xperia xa1,2,2612,Mobile Phones,c00033,Sony Xperia XA1
o00111,smeg st2fabrd dishwasher,324,2619,Dishwashers,c40870,Smeg ST2FABRD Red
o00112,bosch ksv33vl3pg 60cm serie 4 freestanding larder fridge silver,301,2623,Fridges,c46212,Bosch KSV33VL3PG Stainless Steel
o00113,liebherr einbau k hl /gefrier kombination comfort mit biofresh und nofrost icbn 3386,298,2622,Fridge Freezers,c44222,Liebherr ICBN 3386 Premium BioFresh NoFrost Integrated
o00114,lg 55uh770v 55 inch super ultra hd 4k smart tv webos 2016 model silver,17,2614,TVs,c05636,LG 55UH770V
o00115,blomberg ftm1531 85l capacity undercounter freezer,293,2621,Freezers,c43774,Blomberg FTM1531 White
o00116,hotpoint fza36g 1 60cm undercounter frost free freezer graphite 0 85m,128,2621,Freezers,c43348,Hotpoint FZA36G Graphite
o00117,hotpoint 6kg 1200rpm washer white,181,2620,Washing Machines,c41943,Hotpoint WMAQF621P
o00118,samsung ww10m86dqoo/eu freestanding quickdrive washing machine 10kg load a energy rating 1600rpm spin graphite,132,2620,Washing Machines,c41929,Samsung WW10M86DQOO
o00119,fisher paykel rf610adw4 french door style fridge freezer in white,130,2622,Fridge Freezers,c44384,Fisher & Paykel RF610ADW4 White
o00120,samsung galaxy note8 64 gb black,7,2612,Mobile Phones,c00021,Samsung Galaxy Note 8 64GB
o00121,intel cpu core 2 duo e4700 2.6ghz 800mhz fsb lga775 2mb l2 cache retail inc.fan 3yr manufacturers warranty,121,2615,CPUs,c07741,Intel Core 2 Duo E4700 2.6GHz Socket 775 800MHz Box
o00122,kuhla football design table top fridge,22,2623,Fridges,c46503,Kuhla KTTF4GB-1005 White
o00123,htc wildfire s sim free mobile phone silver/white,3,2612,Mobile Phones,c00692,HTC Wildfire S
o00124,serie 4 sms46mw00g 60cm dishwasher,124,2619,Dishwashers,c40494,Bosch SMS46MW00G White
o00125,intel xeon l5410 2.33 ghz 4 cores 12 mb cache lv lga771 socket oem,51,2615,CPUs,c06348,Intel Xeon L5410 2.333GHz Socket 771 1333MHz bus Tray
o00126,samsung ue65nu7100 65 inch ultra hd freeview 4k certified hdr smart tv,19,2614,TVs,c04420,Samsung UE65NU7100
o00127,cda fw821 54cm wide integrated in column fridge white,6,2623,Fridges,c46240,CDA FW821 Integrated
o00128,900watts compact microwave 25 litres led brushed steel,123,2618,Microwaves,c39653,Bosch HMT84M451B Stainless Steel
o00129,smeg uk34xpnf1 frost free fridge freezer,313,2622,Fridge Freezers,c45124,Smeg UK34XPNF1 Stainless Steel
o00130,beko asl141x fridge freezer,294,2622,Fridge Freezers,c44769,Beko ASL141X Stainless Steel
o00131,hotpoint hmcb50501aa built in fridge freezer 50cm 50 50 combi a rated,131,2622,Fridge Freezers,c44307,Hotpoint HMCB50501AA
o00132,hotpoint xex95t1iwz frost free fridge freezer white,22,2622,Fridge Freezers,c44940,Hotpoint XEX95T1IWZ White
o00133,hp amd opteron 6168 1.9ghz 12mb l3 processor,66,2615,CPUs,c06719,HP AMD Opteron 6168 1.9GHz Upgrade Tray
o00134,hotpoint hm325ff2/hm325ff2,98,2622,Fridge Freezers,c44233,Hotpoint HM325FF2 Integrated
o00135,swan sm22130bn retro manual microwave 20 litre 800 w black,17,2618,Microwaves,c40009,Swan SM22130BN Black
o00136,indesit iwdc6125s 6kg washer dryer,292,2620,Washing Machines,c41927,Indesit IWDC 6125 S
o00137,fujitsu intel xeon e5 2620 processor 2 ghz 15 mb l3,66,2615,CPUs,c06294,Fujitsu Xeon E5 2620 2Ghz Box
o00138,bosch kgv36vl32g fridge freezer silver,7,2622,Fridge Freezers,c44089,Bosch KGV36VL32G Stainless Steel
o00139,miele g4940sc full size dishwasher white,7,2619,Dishwashers,c40640,Miele G 4940 SC
o00140,amd ryzen 7 1800x processor 3.6 ghz 16 mb l3,14,2615,CPUs,c05864,AMD Ryzen 7 1800X 3.6GHz Box
o00141,cda ci860wh freestanding washing machine,294,2620,Washing Machines,c42330,CDA CI860WH
o00142,doro 8040 4g sim free mobile phone black,17,2612,Mobile Phones,c00045,Doro 8040
o00143,miele kfn29233dbb 60cm frost free fridge freezer black,301,2622,Fridge Freezers,c44487,Miele KFN29233DbbA
o00144,rangemaster rdw1045fi 45cm fully integrated dishwasher,301,2619,Dishwashers,c40780,Rangemaster RDW1045FI Integrated
o00145,liebherr ikb2350 premium,294,2623,Fridges,c46981,Liebherr IKB2350 Integrated
o00146,serie 6 kge49vi4ag 412 litre fridge freezer,124,2622,Fridge Freezers,c44127,Bosch KGE49VI4AG Stainless Steel
o00147,grade a motorola g5 plus grey 5.2 32gb 4g unlocked sim free,6,2612,Mobile Phones,c00211,Moto G5 Plus Dual SIM
o00148,panasonic nn st452wbpq microwave 900w 1.1cf sensor white,131,2618,Microwaves,c39725,Panasonic NN-ST452WBPQ White
o00149,indesit innex bwe 91484x w washing machine white,7,2620,Washing Machines,c41914,Indesit BWE 91484X W
o00150,bosch k hl /gefrier kombination t ren edelstahl mit anti fingerprint kgn39ei4p,298,2622,Fridge Freezers,c45643,Bosch KGN39EI4P Stainless Steel
o00151,neff k8524x8gb 54cm wide 70 30 integrated upright fridge freezer white,6,2622,Fridge Freezers,c44094,Neff K8524X8GB Integrated
o00152,olympus e pl6 interchangeable lens camera pancake lens black,3,2617,Digital Cameras,c39467,Olympus E-PL6
o00153,gorenje mikrowelle mho200srm,298,2618,Microwaves,c40050,Gorenje MHO200SRM Silver
o00154,hp amd opteron quad core 2376 he 2.3ghz fio kit 2.3ghz 8mb l2,14,2615,CPUs,c06789,HP AMD Opteron 2376HE 2.3GHz Socket F 1000MHz bus Upgrade Tray
o00155,intel core 2 duo e7500 2.93ghz socket 775 1066fsb 3mb l2 cache retail inc fan heatsink cpu processor,121,2615,CPUs,c07696,Intel Core 2 Duo E7500 2.93GHz Socket 775 1066MHz Box
o00156,samsung rs54n3103sa american fridge freezer silver,301,2622,Fridge Freezers,c44168,Samsung RS54N3103SA/EU Graphite
o00157,samsung ue49m6300 49 curved full hd 900 pqi smart led tv in dark silve,128,2614,TVs,c04898,Samsung UE49M6300
o00158,beko fcfm1545w 55cm frost free tall freezer white a rated,133,2621,Freezers,c43270,Beko FCFM1545W White
o00159,intel xeon e5 4610 processor 2.4 ghz box 15 mb smart cache,66,2615,CPUs,c06521,Intel Xeon E5-4610 2.4GHz  Box
o00160,hp intel xeon e5540 2.53ghz 8mb l3 processor,14,2615,CPUs,c06831,HP Intel Xeon Quad-core E5540 2.53GHz Socket 1366 1066MHz bus Upgrade Tray
o00161,hp intel xeon quad core e5506 2.13ghz fio kit 2.13ghz 4mb l2,14,2615,CPUs,c06797,HP Intel Xeon DP E5506 2.13GHz Socket 1366 800MHz bus Upgrade Tray
o00162,whirlpool dlce81469 8kg 1400rpm washing machine,293,2620,Washing Machines,c42686,Whirlpool DLCE 81469
o00163,siemens kg36vvw32 freistehend 307l a wei,119,2622,Fridge Freezers,c45282,Siemens KG36VVW32 White
o00164,haier hw70 14829 7 kg 1400 spin washing machine white,7,2620,Washing Machines,c42310,Haier HW70-14829
o00165,bosch wan28100gb automatic washing machine,294,2620,Washing Machines,c41917,Bosch WAN28100GB
o00166,muz4965 71 litre undercounter freezer,124,2621,Freezers,c43263,Fridgemaster MUZ4965 White
o00167,cda vm130ss integrated built in microwave oven in black stainless steel,3,2618,Microwaves,c39702,CDA VM130SS Stainless Steel
o00168,bosch smv46mx00g serie 4 60cm fully integrated dishwasher,301,2619,Dishwashers,c40471,Bosch SMV46MX00G Integrated
o00169,hotpoint wmbf 742g/wmbf 742g,98,2620,Washing Machines,c42016,Hotpoint WMBF742G
o00170,intel pentium 4 single core 1 core 2 ghz processor,79,2615,CPUs,c06362,Intel Pentium 4 2.0GHz Socket 478 400MHz bus Tray
o00171,zanussi integrierbares k hl /gefrierger t zbt20420sa /a,300,2622,Fridge Freezers,c44982,Zanussi ZBT20420SA Integrated
o00172,fujifilm x t3 digital camera body black,88,2617,Digital Cameras,c38950,Fujifilm X-T3
o00173,liebherr ik2750 premium,294,2623,Fridges,c46980,Liebherr IK2750 Integrated
o00174,neff g4344x7gb built under freezer 82x60cm 4 drawers a super freeze,131,2621,Freezers,c43278,Neff G4344X7GB Integrated
o00175,canon dsc camera powershot sx620 hs 25mm 25xzoom 20.2mp 3in black in 1072c013,26,2617,Digital Cameras,c38851,Canon PowerShot SX620 HS
o00176,panasonic lumix dmc tz80 digital camera 18.1 mp 30x zoom 4k fhd 3 inch lcd silver,17,2617,Digital Cameras,c38853,Panasonic Lumix DMC-TZ80
o00177,sony xperia xz1 compact 11.7 cm 4.6 32 gb 19 mp android 8 bl,18,2612,Mobile Phones,c00027,Sony Xperia XZ1 Compact
o00178,hisense fv306n4bc1/fv306n4bc1,98,2621,Freezers,c43383,Hisense FV306N4BC1 Stainless Steel
o00179,beko dfn16210w 12 place freestanding dishwasher white,6,2619,Dishwashers,c40797,Beko DFN16210W White
o00180,apple iphone 8 4.7 single sim 4g 256gb silver,11,2612,Mobile Phones,c00010,Apple iPhone 8 256GB
o00181,canon powershot sx620 hs digital camera white,88,2617,Digital Cameras,c38851,Canon PowerShot SX620 HS
o00182,intel core 2 quad processor q8400 4m cache 2.66 ghz 1333 mhz fsb 4mb l2 box,45,2615,CPUs,c06843,Intel Core 2 Quad Q8400 2.66GHz Box
o00183,sharp r 20stw r 20stw,297,2618,Microwaves,c40177,Sharp R-20STW Stainless Steel
o00184,nikon d810 fx format digital slr camera body,3,2617,Digital Cameras,c39000,Nikon D810
o00185,bosch silence plus geschirrsp ler 45 cm integrierbar wei spi25cw03e,298,2619,Dishwashers,c41131,Bosch SPI25CW03E White
o00186,aeg free standing fridge freezer frost free in stainless steel,31,2622,Fridge Freezers,c44538,AEG RCB83724VX Stainless Steel
o00187,daewoo kor6l5r. case design countertop interior capacity 20 l mic,18,2618,Microwaves,c40179,Daewoo KOR6L5R Stainless Steel
o00188,fridgemaster muz4965 50cm freezer,294,2621,Freezers,c43263,Fridgemaster MUZ4965 White
o00189,russell hobbs rhm2079rso 20l 800w freestanding digital microwave red,6,2618,Microwaves,c39992,Russell Hobbs RHM2079RSO Red
o00190,bosch serie 8 kgn34xl35g freestanding fridge freezer frost free stainless steel look,6,2622,Fridge Freezers,c44074,Bosch KGN34XL35G Stainless Steel
o00191,static integrated fridge freezer,347,2622,Fridge Freezers,c44479,Amica BK296.3FA Integrated
o00192,sony kd43xf8096baep,119,2614,TVs,c04433,Sony Bravia KD-43XF8096
o00193,fujifilm finepix xp60 digital camera 3d 16.4 mpix 5 x optical zoom black,10,2617,Digital Cameras,c39524,Fujifilm FinePix XP60
o00194,hp 6176 amd opteron processor kit for bl465c g7,17,2615,CPUs,c07240,HP AMD Opteron 6176 2.3GHz Socket G34 6400MHz bus Upgrade Tray
o00195,sony xperia xz1 moonlit blue,2,2612,Mobile Phones,c00031,Sony Xperia XZ1
o00196,intel xeon intel xeon processor e3 1230 v5 8m cache 3.40 ghz in,18,2615,CPUs,c05932,Intel Xeon E3-1230v5 3.4GHz  Box
o00197,bosch hmt75m451b 17 litre microwave stainless steel,133,2618,Microwaves,c39654,Bosch HMT75M451B Stainless Steel
o00198,miele kfn 37452 ide integrated 60/40 fridge freezer white,294,2622,Fridge Freezers,c44674,Miele KFN 37452 iDE Integrated
o00199,panasonic tx43fx650b led tv 4k/hdr,142,2614,TVs,c04548,Panasonic Viera TX-43FX650B
o00200,hoover dxoc510c3 10kg washing machine 1500rpm white,301,2620,Washing Machines,c42076,Hoover DXOC 510C3
o00201,zanussi zbm26642ba 900w 26l built in standard microwave black,6,2618,Microwaves,c39773,Zanussi ZBM26642BA Black
o00202,neff s713m60x0g/s713m60x0g,98,2619,Dishwashers,c40502,Neff S713M60X0G Integrated
o00203,frigidaire frf55w freezer,161,2621,Freezers,c43616,Frigidaire FRF55W White
o00204,bosch smi46is00e,119,2619,Dishwashers,c41018,Bosch SMI46IS00E Stainless Steel
o00205,fujifilm x e3 with xf 18 55 lens black,3,2617,Digital Cameras,c39004,Fujifilm X-E3 + 18-55mm OIS
o00206,zanussi integrated microwave oven in stainless steel,31,2618,Microwaves,c39723,Zanussi ZSG25224XA Stainless Steel
o00207,siemens gi38na55 built in frost free freezer 212ltrs,152,2621,Freezers,c43636,Siemens GI38NA55 Integrated
o00208,olympus v207072be000 e m10 mark iii compact system camera with 14 42 ez zoom lens black,17,2617,Digital Cameras,c38914,Olympus OM-D E-M10 Mark III + 14-42mm EZ
o00209,siemens ki42lad30,300,2623,Fridges,c46681,Siemens KI42LAD30 Integrated
o00210,aeg 6000 series l6fbg862r a 8kg 1600 spin washing machine in white with chrome door,125,2620,Washing Machines,c42150,AEG L6FBG862R
o00211,sony dschx400v digital compact bridge camera with high quality lens electronic view finder 20.4 mp 50x optical high zoom wi fi nfc black,3,2617,Digital Cameras,c38948,Sony Cyber-shot DSC-HX400
o00212,tcl h32d4002k 32 inch 720p hd ready tv with freeview hd black,17,2614,TVs,c05272,TCL H32D4002
o00213,smeg left hand hinge free standing fridge freezer frost free in pastel green,31,2622,Fridge Freezers,c44502,Smeg FAB50LPG Green
o00214,smeg pl7233tx dishwasher,324,2619,Dishwashers,c41156,Smeg PL7233TX Stainless Steel
o00215,apple iphone xs max 64gb space grey,8,2612,Mobile Phones,c00034,Apple iPhone XS Max 64GB
o00216,liebherr ik1624 fridges,293,2623,Fridges,c46466,Liebherr IK 1624 Comfort Integrated
o00217,bosch serie 4 integrated dishwasher in silver,31,2619,Dishwashers,c40471,Bosch SMV46MX00G Integrated
o00218,beko tl546apw 55cm wide tall freestanding fridge,293,2623,Fridges,c47418,Beko TL546APW White
o00219,lg 65uh770v uh770v series 65 led tv,51,2614,TVs,c05637,LG 65UH770V
o00220,bosch hmt75g451b freestanding microwave oven with grill,289,2618,Microwaves,c39648,Bosch HMT75G451B Stainless Steel
o00221,intel xeon e5 2650l v2 deca core 10 core 1.70 ghz processor,73,2615,CPUs,c06253,Intel Xeon E5-2650LV2 1.7GHz Tray
o00222,bosch hmt75m551b built in microwave oven,308,2618,Microwaves,c39726,Bosch HMT75M551B Stainless Steel
o00223,aeg age62526nx/age62526nx,98,2621,Freezers,c43446,AEG AGE62526NX Stainless Steel
